path	sentence
merged_clips\clip_000104.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 會不會覺得不捨或是失望
merged_clips\clip_000105.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 是我的好太太
merged_clips\clip_000106.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我沒有幫助丈夫
merged_clips\clip_000107.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 成為一個很有成就的人
merged_clips\clip_000108.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我是不是讓妳很失望
merged_clips\clip_000109.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我知道你只是太重感情
merged_clips\clip_000110.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 也想照顧弟弟妹妹
merged_clips\clip_000111.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 所以沒有把精神放在前途上
merged_clips\clip_000112.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 卻沒顧慮妳的感受
merged_clips\clip_000113.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不必向我道歉
merged_clips\clip_000114.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你能否答應我
merged_clips\clip_000115.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 既然現在爸跟阿姨都支持你
merged_clips\clip_000116.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你可不可以不要有任何顧慮
merged_clips\clip_000117.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好好拚自己的事業好嗎
merged_clips\clip_000118.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 鴻展你現在越來越賢慧了
merged_clips\clip_000119.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 家裡的工作都你一個人做嗎
merged_clips\clip_000120.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 對哦婚都結了
merged_clips\clip_000121.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 張立委家裡的錢比銀行還多
merged_clips\clip_000122.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 溪水我的意思是
merged_clips\clip_000123.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那筆錢如果你們想繼續放著
merged_clips\clip_000124.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 多少算一點利息給我們
merged_clips\clip_000125.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 向你們借錢已經很不好意思了
merged_clips\clip_000126.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 否則我出門怎麼抬得起頭呢
merged_clips\clip_000127.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 鴻展快去領錢給張立委
merged_clips\clip_000128.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 記得告訴櫃檯要新鈔
merged_clips\clip_000129.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 媽領錢的事
merged_clips\clip_000130.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 可能需要跟家燕商量商量
merged_clips\clip_000131.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 要領錢得要我的身分證跟印章
merged_clips\clip_000132.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好存妳那裡也沒關係
merged_clips\clip_000133.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我告訴妳快拿錢出來
merged_clips\clip_000134.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那些聘金是我爸給我的
merged_clips\clip_000135.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那些嫁妝是我爸給鴻展的
merged_clips\clip_000136.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 都是我們借你們的錢耶
merged_clips\clip_000137.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 本來這筆錢我們有準備
merged_clips\clip_000138.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 立委你讓我們寬限寬限
merged_clips\clip_000139.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 林老闆你們這樣不行啦
merged_clips\clip_000140.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 添富你不要為難林老闆了
merged_clips\clip_000141.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 溪水你娶這個媳婦
merged_clips\clip_000142.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我才覺得自己家有多幸福
merged_clips\clip_000143.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我看林溪水存心向我們擺爛
merged_clips\clip_000144.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 林溪水不可能倒我們這筆債
merged_clips\clip_000145.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 這筆錢借他下聘娶媳婦
merged_clips\clip_000146.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 人盡皆知的事
merged_clips\clip_000147.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 若真連辦喜事的錢
merged_clips\clip_000148.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 都給我擺爛倒債
merged_clips\clip_000149.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我看他飼料生意就不用做了
merged_clips\clip_000150.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 剛才我放一點人情給林溪水
merged_clips\clip_000151.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 記住人情就是選票
merged_clips\clip_000152.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 政治就是錢跟人情
merged_clips\clip_000153.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 張議員以後你想繼續爬上去
merged_clips\clip_000154.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 爸爸的工夫你一定徹底學會
merged_clips\clip_000155.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 究竟何時才向林溪水要
merged_clips\clip_000156.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 林溪水他們家旁邊
merged_clips\clip_000157.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 有這麼大一間飼料廠
merged_clips\clip_000158.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 林溪水不可能倒我們這筆債
merged_clips\clip_000159.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 看看妳的臉氣得滿臉通紅了
merged_clips\clip_000160.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好了別再跳腳了
merged_clips\clip_000161.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 再跳下去妳的臉色反白
merged_clips\clip_000162.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 是擺場面給親戚朋友看而已
merged_clips\clip_000163.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 聘金快領出來還給人家
merged_clips\clip_000164.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 聘金是我跟鴻展開公司的資金
merged_clips\clip_000165.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我們不是飼料工廠開得好好的
merged_clips\clip_000166.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 反正就是要靠自己
merged_clips\clip_000167.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 有本事聘金、嫁妝不要放口袋
merged_clips\clip_000168.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 媽那些錢是我們共有
merged_clips\clip_000169.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我們被雙車那隻老狐狸算計了
merged_clips\clip_000170.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你無緣無故扯到我爸頭上
merged_clips\clip_000171.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我只是說實在話
merged_clips\clip_000172.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那我找個比較沒聲音的
merged_clips\clip_000173.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我才進門多久
merged_clips\clip_000174.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 還和你爸媽聯合起來欺負我
merged_clips\clip_000175.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你以前對我說話都輕聲細語
merged_clips\clip_000176.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 現在呢動不動對我大呼小叫
merged_clips\clip_000177.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好啦對不起
merged_clips\clip_000178.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 會影響腹中的孩子
merged_clips\clip_000179.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果孩子有事都是你害的
merged_clips\clip_000180.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 對啦都是我
merged_clips\clip_000181.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 結婚之後就把聘金還給爸媽
merged_clips\clip_000182.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我也不用當夾心餅乾
merged_clips\clip_000183.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你真的很不會想
merged_clips\clip_000184.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 難怪爸堅持要我守住錢
merged_clips\clip_000185.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 幫父母解決債務怎麼算亂花
merged_clips\clip_000186.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我的肚子一天比一天大
merged_clips\clip_000187.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 漂亮老婆妳真的想太多了
merged_clips\clip_000188.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 就算變成口吃
merged_clips\clip_000189.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家、親家母真抱歉
merged_clips\clip_000190.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不是我愛翻舊帳
merged_clips\clip_000191.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 確實有些事不說出來
merged_clips\clip_000192.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 當時你要求聘金得準備現金
merged_clips\clip_000193.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果沒有現金開支票也可以
merged_clips\clip_000194.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那時候你怎麼說不收聘金
merged_clips\clip_000195.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 嫁妝過去的時候也附在裡面
merged_clips\clip_000196.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不過現在所有現金
merged_clips\clip_000197.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 都在家燕帳戶裡
merged_clips\clip_000198.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 要去問鴻展才對
merged_clips\clip_000199.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 還需要問嗎
merged_clips\clip_000200.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 鴻展都是你教的
merged_clips\clip_000201.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我現在說什麼你答非所問
merged_clips\clip_000202.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 對啊誰叫你當親家
merged_clips\clip_000203.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 被你搞得害我去向人借錢
merged_clips\clip_000204.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 現在又籌不到錢還給張立委
merged_clips\clip_000205.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 難難道我要幫你還債嗎
merged_clips\clip_000206.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我們跟你說話好像打陀螺
merged_clips\clip_000207.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 乾脆我幾十句當一句說
merged_clips\clip_000208.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 翻來翻去翻到我頭都暈了
merged_clips\clip_000209.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 妳最好長話短說就好
merged_clips\clip_000210.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不要囉哩囉嗦一大堆
merged_clips\clip_000211.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家母妳要知道
merged_clips\clip_000212.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我女兒是妳兒子追的
merged_clips\clip_000213.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 這件婚事是你們叫媒人來提親
merged_clips\clip_000214.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你你真是顛倒黑白
merged_clips\clip_000215.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家母我們有事好好說
merged_clips\clip_000216.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 上法院傳出去很難聽
merged_clips\clip_000217.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 兩車欺騙我們
merged_clips\clip_000218.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 妳再來安撫我們
merged_clips\clip_000219.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家母我讀社會大學
merged_clips\clip_000220.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不要在孩子面前教壞小孩
merged_clips\clip_000221.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家公、親家母來要錢的哦
merged_clips\clip_000222.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 剛才還氣到要找我們上法院
merged_clips\clip_000223.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 阿姨妳跟爸有什麼打算嗎
merged_clips\clip_000224.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 子豪跟奶奶進去泡茶
merged_clips\clip_000225.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 泡好你端給客人喝
merged_clips\clip_000226.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家母今天你們跑這一趟
merged_clips\clip_000227.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 有啦我鼓勵鴻展
merged_clips\clip_000228.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 意思叫鴻展不要靠家裡生活
merged_clips\clip_000229.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我會這麼說是鼓勵為他好
merged_clips\clip_000230.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 誰不知道嫁娶那些聘金、嫁妝
merged_clips\clip_000231.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那些錢是給他們開公司
merged_clips\clip_000232.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不是放在家燕的口袋裡
merged_clips\clip_000233.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不過開公司也是各出一半
merged_clips\clip_000234.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果你們覺得被我們占便宜了
merged_clips\clip_000235.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 到時候公司登記鴻展的名字
merged_clips\clip_000236.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果兒子、媳婦可以獨立
merged_clips\clip_000237.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我們為人父母也可以放心
merged_clips\clip_000238.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 鴻展不用大費周章開公司
merged_clips\clip_000239.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 爺爺、奶奶
merged_clips\clip_000240.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 親家嬤請喝茶
merged_clips\clip_000241.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 沒沒有啊我哪有生氣
merged_clips\clip_000242.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不然妳怎麼不喝茶呢
merged_clips\clip_000243.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 沒事打電話給妳做什麼
merged_clips\clip_000244.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不用擔心我自己會處理
merged_clips\clip_000245.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我現在剛搬到住處
merged_clips\clip_000246.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 過兩天會去找小寶
merged_clips\clip_000247.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 對了你有沒有跟家人連絡
merged_clips\clip_000248.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好啦有就好
merged_clips\clip_000249.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 別一開口就說妳婆婆不對
merged_clips\clip_000250.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 記住妳現在為人媳婦
merged_clips\clip_000251.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果人家大聲問話
merged_clips\clip_000252.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 阿姨先打電話告訴妳
merged_clips\clip_000253.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 妳公婆來過
merged_clips\clip_000254.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 現在妳跟鴻展要做什麼工作
merged_clips\clip_000255.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我過得很好
merged_clips\clip_000256.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你現在應該把對我的思念
merged_clips\clip_000257.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 化為奮鬥事業的心
merged_clips\clip_000258.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我都會一直想妳
